CASO,TIPOCASO,FECHACREADO,FECHAPORAPROBAR,SEDEUSUARIO,NOMBREGRUPORESOLUTOR,VENCIDO,RECHAZADO,SATISFACCION,CASO
SR4115530,SR,3-sep-24,6-sep-24,MEALS DE COLOMBIA - BOGOTA - PLANTA HELADOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3793906,SR,13-feb-24,14-feb-24,MEALS DE COLOMBIA - PASTO - MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3842604,SR,12-mar-24,12-mar-24,MEALS DE COLOMBIA - PASTO - MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3844621,SR,13-mar-24,13-mar-24,MEALS DE COLOMBIA - PASTO - MULTICOMPANIA,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR3798095,SR,15-feb-24,15-feb-24,ALIMENTOS CARNICOS - AGUACHICA- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3794048,SR,13-feb-24,13-feb-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3873075,SR,5-abr-24,5-abr-24,ALIMENTOS CARNICOS - ENVIGADO- PLANTA CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR3902719,SR,22-abr-24,22-abr-24,SERVICIOS NUTRESA - PLANTA BOGOTA CHOCOLATES,CONECTIVIDAD SENCINET,No,No,5,1
SR3771697,SR,30-ene-24,30-ene-24,GESTION CARGO ZONA FRANCA - CARTAGENA,null,No,No,4,1
SR3910159,SR,25-abr-24,6-may-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,null,No,No,0,1
SR3915853,SR,30-abr-24,6-may-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,null,No,No,0,1
SR3755987,SR,19-ene-24,19-ene-24,ALIMENTOS CARNICOS - BOGOTA- REGIONAL CARNICOS,SOPORTE TECNICO A USUARIOS,No,No,0,1
SR4108613,SR,30-ago-24,9-sep-24,ALIMENTOS CARNICOS - MEDELLIN MULTICOMPANIA,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR4082179,SR,14-ago-24,21-ago-24,SERVICIOS NUTRESA - MEDELLIN- PLANTA NOEL,CONECTIVIDAD TI CABLEADO EP INGENIERIA,No,No,0,1
SR4142677,SR,18-sep-24,18-sep-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4224708,SR,13-nov-24,13-nov-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4224688,SR,13-nov-24,13-nov-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4264399,SR,9-dic-24,9-dic-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
SR4287430,SR,26-dic-24,26-dic-24,MOLINOS SANTA MARTA - PLANTA BUGA,SOPORTE TECNICO A USUARIOS,No,No,5,1
